EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
RI Carajás,1.6808333333333334e+16,1863333333333333.0,2.0641666666666664e+16,2.6683333333333336e+16,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,187.0,117.0,111.0,9.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,196.0,192.0,179.0,181.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Canaã dos Carajás,153.0,224.0,288.0,362.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Curionópolis,192.0,193.0,221.0,319.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Eldorado do Carajás,178.0,234.0,24.0,256.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Marabá,148.0,183.0,231.0,319.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Palestina do Pará,198.0,236.0,21.0,224.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Parauapebas,124.0,16.0,239.0,333.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
Piçarra,187.0,131.0,162.0,239.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
São Domingos do Araguaia,15.0,197.0,198.0,29.0,4 Carajás,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri carajas.xlsx,Carajás
