EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
RI Carajás,1.9028309205413304e+16,8081226890541868.0,1.2873941175113094e+16,4410958999918817.0,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,3.8918793916185416e+16,3017859320542629.0,2069414699840389.0,3736919976486807.0,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,4.0440607741688984e+16,2794664392914535.0,2.0176859138193756e+16,3.658786964148221e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Canaã dos Carajás,3.220894189230007e+16,8959730436357563.0,8897126438195247.0,1.1834797764044364e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Curionópolis,3005837176184314.0,8462739116057315.0,9330050005973964.0,3.0367216572685764e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Eldorado do Carajás,308196198819665.0,9532522034215092.0,2754188296244041.0,3.2105975318617936e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Marabá,5057283643262251.0,5.498349959225281e+16,2.824314723210885e+16,1.1716069532376098e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Palestina do Pará,4292203252045839.0,2.4439077978106348e+16,1557746854476327.0,3.905659218704722e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
Parauapebas,4.926222310267221e+16,8409395694662564.0,1.1696514663104204e+16,3.7169061613116984e+16,100.0,4 Carajás,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri carajas.xlsx,Carajás
