EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
RI Carajás,1096.0,152.0,203.0,30.0,510.0,1053.0,254.0,95.0,60.0,107.0,148.0,557.0,76.0,288.0,12.0,44.0,0.0,238.0,257.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Bom Jesus do Tocantins,8.0,2.0,1.0,2.0,2.0,17.0,3.0,1.0,0.0,3.0,3.0,11.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Brejo Grande do Araguaia,4.0,1.0,1.0,0.0,1.0,13.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Canaã dos Carajás,232.0,17.0,64.0,5.0,91.0,192.0,43.0,20.0,16.0,7.0,26.0,124.0,31.0,56.0,2.0,13.0,0.0,65.0,52.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Curionópolis,39.0,2.0,3.0,2.0,20.0,32.0,6.0,1.0,2.0,8.0,3.0,19.0,0.0,5.0,0.0,0.0,0.0,7.0,6.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Eldorado do Carajás,21.0,5.0,4.0,0.0,16.0,20.0,8.0,1.0,0.0,2.0,3.0,9.0,2.0,7.0,0.0,0.0,0.0,1.0,12.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Marabá,450.0,48.0,74.0,12.0,245.0,352.0,74.0,35.0,23.0,20.0,40.0,131.0,28.0,102.0,3.0,26.0,0.0,86.0,108.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Palestina do Pará,7.0,0.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
Parauapebas,308.0,70.0,46.0,9.0,116.0,334.0,101.0,36.0,18.0,51.0,65.0,224.0,14.0,103.0,7.0,4.0,0.0,79.0,60.0,4 Carajás,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas,..\..\Desktop\tabelas-powerBI\4 Carajás\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri carajas.xlsx,Carajás
