Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Xingu,31581388038.0,6473004199565148.0,688576481.0,6473004187217057.0,1987171844.0,3.616822952430848e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Altamira,7641541468.0,1566230399816451.0,166610338.0,1.566230397444622e+16,1027668682.0,1.8704450185194744e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Anapu,1.541541047e+16,3.1595829983871e+16,3.3610584e+16,3159582950768988.0,148670098.0,2.705923115859845e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Brasil Novo,1449097852.0,2.970108999101122e+16,31595024.0,2.970109033497811e+16,132453756.0,2.410771802564223e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Medicilândia,1475915425.0,3025075000735463.0,32179734.0,3025075045012046.0,1.4127720699999998e+16,2571366167831654.0,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Pacajá,1.565194628e+16,3208063998957286.0,3.4126309e+16,3.208063986304857e+16,1.55487909e+16,2830013115346249.0,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Placas,1222972236.0,2506636000309537.0,2.6664753e+16,2.506635974110602e+16,4.6688146e+16,8497642444416720.0,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Porto de Moz,1.5342021489999998e+16,3144541000385929.0,33450572.0,314454092748494.0,10069583.0,1.8327503494865e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Senador José Porfírio,1.447018937e+16,2965848000341554.0,31549696.0,2965847947882862.0,24917332.0,4535167834782360.0,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Uruará,1720004804.0,3.525366999755626e+16,37501672.0,3.525366993817505e+16,236007558.0,4.295539690233023e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Vitória do Xingu,1.1983899492e+16,2.4562514999513344e+16,261287799.0,2456251503884474.0,63931573.0,1.16360938441018e+16,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Fonte: DITES-SEFA,,,,,,,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
Elaboração: FAPESPA,,,,,,,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
*Nota 1: Deduzidos 20% de contribuição ao FUNDEB,,,,,,,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
**Nota 2: Deduzidos 50% de contribuição ao FUNDEB,,,,,,,13 Xingu,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri xingu.xlsx",Xingu
