EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
RI Xingu,2.2748562362215104e+16,3.9559842766700136e+16,2043888264201985.0,1725271222906493.0,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Altamira,1.5459858209503864e+16,1.5946813710578112e+16,4811699394056304.0,2.0476334139354996e+16,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Anapu,4.3152628161279736e+16,417167601423571.0,2574167673247211.0,2.6934019275559092e+16,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Brasil Novo,4.619129161797817e+16,4698374501158254.0,2569374775917414.0,2341658612168945.0,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Medicilândia,6417851774971038.0,4153904530594182.0,1691100905043334.0,1.47565686692621e+16,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Pacajá,5020410500352478.0,3.4183500292289484e+16,1.8183113909183496e+16,2819443105806277.0,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Placas,3612355875771049.0,3182178950250114.0,1646420469792975.0,4423005759410965.0,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Porto de Moz,2690051939538221.0,2.7620555230624036e+16,1.5721286645171816e+16,5.461613843638357e+16,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
Senador José Porfírio,4438061772548545.0,4099792643221887.0,1.9227861984485044e+16,3229172764680762.0,100.0,13 Xingu,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri xingu.xlsx,Xingu
