EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
RI Xingu,1376082464.0,8.0,,5406015810327132.0,100.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Altamira,3887893813.0,12.0,2.0,1.5273805147444302e+16,2.8253349015862464e+16,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Anapu,715999089.0,63.0,6.0,2.812841887442163e+16,5203169924269887.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Brasil Novo,51748203.0,82.0,7.0,2.03295667877952e+16,3760545196512293.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Medicilândia,1140468562.0,40.0,3.0,4.480393609138418e+16,8287792278704599.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Pacajá,1114327561.0,42.0,4.0,4.377697245802029e+16,8097825458518452.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Placas,491401617.0,84.0,9.0,1930498338740779.0,3.571018669706701e+16,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Porto de Moz,507177479.0,83.0,8.0,1.992474682182896e+16,3685661958991434.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Senador José Porfírio,341243519.0,107.0,10.0,1.340593973942005e+16,247981881847453.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Uruará,1057793926.0,44.0,5.0,4.155601744536152e+16,7686995174149678.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Vitória do Xingu,3987037044.0,11.0,1.0,1.5663294795263052e+16,2897382350480996.0,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Fonte: FAPESPA/IBGE,,,,,,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
Elaboração: FAPESPA,,,,,,13 Xingu,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri xingu.xlsx",Xingu
