Par,23001070720,2051340906,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Xingu,1450340,939408,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,510932.0
Altamira,404631,919807,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,-515176.0
Anapu,245222,0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,245222.0
Brasil Novo,0,820,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,-820.0
Medicilândia,242920,0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,242920.0
Pacajá,54039,0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,54039.0
Placas,43498,0,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,43498.0
Porto de Moz,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,0.0
Senador José Porfírio,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,0.0
Uruará,460030,18781,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,441249.0
Vitória do Xingu,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,0.0
Fonte: MDIC - COMEX STAT,,,13 Xingu,42,"Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu",20,"Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu","..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 42 - Balança Comercial - Exportação, Importação e Saldo (US$ 1.000) - 2024 ri xingu.xlsx",Xingu,20949729814,
