EstadoMunicpios,Populao_Total,Populao_menor_que_15_anos,Populao_entre_15_e_64_anos,Populao_maior_que_64_anos,Proporo_de_Idosos,Razo_de_Dependncia,ndice_de_Envelhecimento,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1999423.0,6029379.0,682394.0,7.833528254903229e+16,4447915780381363.0,3.4129546374128932e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
RI Xingu,424069.0,109369.0,288545.0,26155.0,6167628381230413.0,4696806390684296.0,2391445473580265.0,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Altamira,138749.0,33886.0,96015.0,8848.0,6.3769828971740344e+16,4450762901629954.0,2.611107832143068e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Anapu,35638.0,10217.0,23588.0,1833.0,5143386273079297.0,5108529760895371.0,1794068709014388.0,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Brasil Novo,27130.0,6375.0,18787.0,1968.0,7253962403243641.0,444083674881567.0,3.0870588235294116e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Medicilândia,28677.0,7116.0,19475.0,2086.0,7274122118771141.0,4725032092426187.0,2.9314221472737492e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Pacajá,43741.0,11636.0,29349.0,2756.0,6300724720513934.0,4903744590957103.0,2.3685115159848744e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Placas,18510.0,4472.0,12683.0,1355.0,7320367368989736.0,4594338878814161.0,3029964221824687.0,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Porto de Moz,44121.0,12816.0,29493.0,1812.0,4106887876521385.0,4959820974468518.0,1.4138576779026218e+16,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
Senador José Porfírio,24989.0,7048.0,16759.0,1182.0,4730081235743727.0,4910794200131273.0,1677071509648127.0,13 Xingu,4,Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,20,Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu,..\..\Desktop\tabelas-powerBI\13 Xingu\Tabela 4 -  Proporção_de_Idosos_Razão_de_Dependência_e_Indice_de_Envelhecimento_-_2025_ri_xingu.xlsx,Xingu
