EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
RI Guajará,2117471.0,1819242.0,1.1639303622057978e+16,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Ananindeua,509227.0,19059.0,2.6718453224198544e+16,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Belém,1397315.0,1059458.0,1.3188960770507184e+16,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Benevides,68962.0,187826.0,3671589662772992.0,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Marituba,119437.0,103214.0,1157178289766892.0,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Santa Bárbara do Pará,22530.0,278154.0,8099829590802217.0,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Fonte: IBGE - Censo Demográfico,,,,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Elaboração: FAPESPA,,,,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
Nota¹: Último ano de registro do dado.,,,,5 Guajará,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_guajará.xlsx",Guajará
