EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,511007.0
RI Guajará,0,2200,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,48.0
Ananindeua,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,5.0
Belém,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,2.0
Benevides,-,2200,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,8.0
Marituba,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,13.0
Santa Bárbara do Pará,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,20.0
Fonte: IBGE/PPM,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,
Elaboração: FAPESPA,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Leite_Mil_litros,
Pará,29,745689,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Ovos_de_galinha_Mil_dzias,39437.0
RI Guajará,0,2200,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Ovos_de_galinha_Mil_dzias,1047.0
Ananindeua,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Ovos_de_galinha_Mil_dzias,650.0
Belém,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará,Ovos_de_galinha_Mil_dzias,4.0
