Par,973,991,26,07,01,02,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guajará,97.3,99.14999999999999,2.6,0.7250000000000001,0.1,0.125,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,9922.0
Ananindeua,-,99.2,-,0.4,-,0.4,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,987.0
Belém,97.3,99,2.6,0.9,0.1,0.1,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,99.0
Benevides,-,99.2,-,0.8,-,0,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,997.0
Marituba,-,99.2,-,0.8,-,0,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,100.0
Santa Bárbara do Pará,-,-,-,-,-,-,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,987.0
Fonte: MEC - INEP,,,,,,,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,
Elaboração: FAPESPA,,,,,,,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,986,
RI Guajará,97.3,99.14999999999999,2.6,0.7250000000000001,0.1,0.125,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,914,9706.0
Ananindeua,-,99.2,-,0.4,-,0.4,5 Guajará,8,"Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara",20,"Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 8 - Taxas de Aprovação, Reprovação e Abandono no Ensino Fundamental por Dependência Administrativa - 2024 ri guajara.xlsx",Guajará,914,100.0
