EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
RI Guajará,48.0,1047.0,0,2200,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Ananindeua,5.0,650.0,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Belém,2.0,4.0,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Benevides,8.0,41.0,-,2200,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Marituba,13.0,190.0,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Santa Bárbara do Pará,20.0,162.0,-,-,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Fonte: IBGE/PPM,,,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Elaboração: FAPESPA,,,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,5 Guajará,46,Producao de Origem Animal por Tipo - 2024 ri guajara,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri guajara.xlsx,Guajará
