Par,118515,3181875711935198,8295152512340211,23502510230772476,6234231953761127,2678142007340843,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Guajará,22295,7.9389997757344695,9.813859609777976,25.629064812738285,55.31733572549899,1.3007400762502803,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Ananindeua,5736,15.045327754532774,7.583682008368201,21.983960948396096,52.02231520223152,3.3647140864714085,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Belém,14152,5.03815715093273,10.888920293951385,26.731204070096098,56.91068400226117,0.43103448275862066,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Benevides,831,4.813477737665464,6.377858002406739,29.96389891696751,58.24308062575211,0.601684717208183,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Marituba,1297,10.562837316885119,10.10023130300694,25.983037779491134,51.272166538164996,2.081727062451812,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Santa Bárbara do Pará,279,6.093189964157706,10.03584229390681,30.107526881720432,52.32974910394266,1.4336917562724014,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Fonte: DATASUS,,,,,,,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
Elaboração: FAPESPA,,,,,,,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,,5 Guajará,16,Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,20,Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 16 - Percentual de Nascidos Vivos Conforme o Número de Consultas Pré-Natal - 2024 ri guajara.xlsx,Guajará
