Par,27792,9307,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Guajará,291,5272,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,579112.0
Ananindeua,2,1656,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,87019.0
Belém,210,3296,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,460180.0
Benevides,1,21,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,14011.0
Marituba,-,299,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,15642.0
Santa Bárbara do Pará,78,-,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,2260.0
Fonte: MTE-RAIS,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,
Elaboração: FAPESPA,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,1445663,
RI Guajará,291,5272,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,31498.0
Ananindeua,2,1656,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,10210.0
Belém,210,3296,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,15151.0
Benevides,1,21,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,4050.0
Marituba,-,299,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,1673.0
Santa Bárbara do Pará,78,-,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,414.0
Fonte: MTE-RAIS,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,
Elaboração: FAPESPA,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,117832,
RI Guajará,291,5272,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,34251.0
Ananindeua,2,1656,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,5644.0
Belém,210,3296,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,26513.0
Benevides,1,21,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,1211.0
Marituba,-,299,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,855.0
Santa Bárbara do Pará,78,-,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,28.0
Fonte: MTE-RAIS,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,
Elaboração: FAPESPA,,,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,99624,
RI Guajará,291,5272,5 Guajará,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri guajara.xlsx,Guajará,261547,106115.0
