EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,-,-,100.0,-,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
RI Guajará,5842880982700001.0,10,,2.2954080003693684e+16,100,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Ananindeua,11473897449.0,4,2,4507583857660884.0,19.637397172683638,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Belém,40536061655.0,1,1,1.5924815258406304e+16,69.37683956770971,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Benevides,3338144875.0,15,3,1.3114086142015168e+16,5.713183076779771,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Marituba,278052203.0,16,4,1.0923434058921988e+16,4.758820243357273,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Santa Bárbara do Pará,300183818.0,116,5,1.17928867532779e+16,0.513759939469595,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Fonte: FAPESPA/IBGE,,,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
Elaboração: FAPESPA,,,,,,5 Guajará,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri guajara.xlsx",Guajará
