EstadoMunicpio,Caprino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,25557665.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,4720.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,19.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,122.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,1744.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,49.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,2786.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bovino,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,775075.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,960.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,1.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,283.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,19.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,1.0
