EstadoMunicpio,Caprino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,656.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Bubalino,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,499639.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,536.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,27.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,147.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,197.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,3.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,162.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Equino,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,587143.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,3873.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,1700.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,402.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,581.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,390.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,800.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__total,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,93157.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,188.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,15.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,30.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,48.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,15.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,80.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Suno__matrizes_de_sunos,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,26827658.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,1887000.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,45000.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,25000.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,1650000.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,47000.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,120000.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__Total,
Pará,61762,284632,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,2955828.0
RI Guajará,208,2327,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,94100.0
Ananindeua,-,-,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,36000.0
Belém,55,200,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,500.0
Benevides,59,89,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,5600.0
Marituba,36,1874,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,28000.0
Santa Bárbara do Pará,58,164,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,24000.0
Fonte: IBGE/PPM,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,
Elaboração: FAPESPA,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará,Galinceos__galinhas,
