EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
RI Guajará,818039.0,345737.0,17246.0,3526.0,49671.0,28548.0,2842.0,2921.0,271552.0,55863.0,6447.0,12562.0,7288.0,794.0,12630.0,412.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Ananindeua,192663.0,76822.0,5079.0,1188.0,12097.0,5414.0,782.0,444.0,69665.0,12271.0,1635.0,2989.0,2285.0,129.0,1805.0,58.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Belém,560966.0,250207.0,9312.0,1243.0,34116.0,22040.0,1734.0,2256.0,175238.0,37881.0,3986.0,8210.0,3404.0,579.0,10432.0,328.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Benevides,22025.0,5898.0,1401.0,465.0,1257.0,360.0,136.0,83.0,8863.0,1963.0,206.0,574.0,626.0,35.0,144.0,14.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Marituba,37675.0,11466.0,1347.0,602.0,1967.0,624.0,172.0,115.0,15570.0,3396.0,501.0,686.0,939.0,49.0,231.0,10.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Santa Bárbara do Pará,4710.0,1344.0,107.0,28.0,234.0,110.0,18.0,23.0,2216.0,352.0,119.0,103.0,34.0,2.0,18.0,2.0,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Fonte: DENATRAN,,,,,,,,,,,,,,,,,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
"Nota1: Outros inclui: Chassi Plataf, Quadriciclo, Side-Car, Trator de Rodas, Trator Esteira, Sem identificação e Não Identificado.",,,,,,,,,,,,,,,,,5 Guajará,51,Total da Frota de Veículos por Tipo - 2024 ri guajará,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri guajará.xlsx,Guajará
