EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762,284632,26827658.0,2955828.0,1980,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
RI Guajará,4720.0,960.0,536.0,3873.0,188.0,208,2327,1887000.0,94100.0,0,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Ananindeua,19.0,1.0,27.0,1700.0,15.0,-,-,45000.0,36000.0,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Belém,122.0,283.0,147.0,402.0,30.0,55,200,25000.0,500.0,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Benevides,1744.0,19.0,197.0,581.0,48.0,59,89,1650000.0,5600.0,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Marituba,49.0,1.0,3.0,390.0,15.0,36,1874,47000.0,28000.0,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Santa Bárbara do Pará,2786.0,656.0,162.0,800.0,80.0,58,164,120000.0,24000.0,-,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Fonte: IBGE/PPM,,,,,,,,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,,,,,,,5 Guajará,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara,..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri guajara.xlsx,Guajará
