EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
RI Guajará,5842880982700001.0,1978620.0,2953008148457006.0,9435807642176602.0,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Ananindeua,11473897449.0,478778.0,2396496.0,7657572933911898.0,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Belém,40536061655.0,1303403.0,3110018.0,9937504448485962.0,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Benevides,3338144875.0,63567.0,525138.0,1.6779842467371642e+16,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Marituba,278052203.0,111785.0,2487384.0,7947989228709547.0,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Santa Bárbara do Pará,300183818.0,21087.0,1423549.0,4.548695383800911e+16,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Fonte: FAPESPA/IBGE,,,,,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
Elaboração: FAPESPA,,,,,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
"NOTA:  Para o cálculo do PIB per capita de 2023, por Unidade da Federação e por Município, foi utilizada a população da publicação ‘Relação da população residente dos Municípios enviada para o TCU em 2023’",,,,,5 Guajará,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri guajara.xlsx",Guajará
