Par,col,191,12640,73,407,28312,2079,8585,133,29064,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,22589.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,2096.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,3303.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,605.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,249835,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,87317.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,18514.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,65193.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,2071.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,86.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,1453.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,136328,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,94299.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,29227.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,40213.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,7273.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,15880.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,1706.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,
