Par,col,191,12640,73,407,28312,2079,8585,133,29064,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1036295,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,60626.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,13735.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,45273.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,1042.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,513.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,63.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,130742,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,244321.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,61476.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,152758.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,10386.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,16479.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,3222.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,1305444,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,63025.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,15947.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,38919.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,2451.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,4897.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,811.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,312964,
RI Guajará,-,191,6219,73,294,13724,2079,2496,133,15612,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,81266.0
Ananindeua,-,-,771,-,-,2235,-,216,7,3477,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,19647.0
Belém,-,191,5375,73,294,11237,2079,2280,126,11722,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,53047.0
Benevides,-,-,63,-,-,162,-,-,-,308,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,2759.0
Marituba,-,-,10,-,-,90,-,-,-,105,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,5002.0
Santa Bárbara do Pará,-,-,-,-,-,-,-,-,-,-,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,811.0
Fonte: MEC - INEP,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,
Elaboração: FAPESPA,,,,,,,,,,,5 Guajará,5,"Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará",20,"Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará","..\..\Desktop\tabelas-powerBI\5 Guajará\Tabela 5 - Número de Matrículas em Creches e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri guajará.xlsx",Guajará,350746,
