Par,45314,2472,6343,1119,11395,5430,2308,29067,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,2693.0,95.0,265.0,36.0,598.0,281.0,125.0,1400.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,82.0,0.0,9.0,2.0,14.0,12.0,3.0,40.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Bannach,30.0,1.0,2.0,0.0,6.0,5.0,1.0,15.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,306.0,12.0,44.0,6.0,88.0,26.0,17.0,193.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,44.0,0.0,7.0,0.0,7.0,6.0,1.0,21.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,118.0,6.0,8.0,3.0,32.0,8.0,7.0,64.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,192.0,10.0,17.0,3.0,39.0,19.0,10.0,98.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,73.0,5.0,8.0,1.0,16.0,17.0,5.0,52.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Redenção,606.0,19.0,49.0,7.0,125.0,70.0,34.0,304.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
Rio Maria,137.0,6.0,13.0,1.0,35.0,27.0,4.0,86.0,2 Araguaia,18,Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,20,Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 18 - Óbitos segundo Principais Causas (CID-10) - 2024 ri araguaia.xlsx,Araguaia
