EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075.0,499639.0,587143.0,93157.0,61762.0,284632.0,26827658.0,2955828.0,1980,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
RI Araguaia,8338696.0,6790.0,95902.0,84012.0,11644.0,7345.0,39509.0,550586.0,90633.0,0,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,685182.0,701.0,13854.0,3520.0,361.0,846.0,4011.0,57760.0,7717.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Bannach,279577.0,241.0,1850.0,1450.0,175.0,145.0,949.0,11592.0,1333.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,328035.0,373.0,4022.0,12210.0,1550.0,50.0,1129.0,78879.0,10253.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,710417.0,205.0,2716.0,2536.0,304.0,50.0,658.0,13923.0,1670.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,253933.0,445.0,3027.0,8361.0,1003.0,170.0,2764.0,33403.0,4176.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,244415.0,501.0,5140.0,3477.0,567.0,104.0,2079.0,12750.0,3162.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,116352.0,99.0,469.0,1089.0,145.0,104.0,55.0,12020.0,1484.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
Redenção,318443.0,60.0,2342.0,2780.0,355.0,31.0,774.0,21609.0,3069.0,-,2 Araguaia,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri araguaia.xlsx,Araguaia
