EstadoMunicpios,rea_Territorial_IBGEkm,rea_Cadastrvel_km,_de_rea_Cadastrvel,rea_de_CAR_km,_de_rea_de_CAR,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.2458722699999996e+16,5848309106000001.0,4694148225965414.0,5058925174.0,865.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
RI Araguaia,1.7417446000000002e+16,1043514365.0,5991201953489621.0,9834390890000000.0,9424298524151128.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Água Azul do Norte,711395.0,54968426.0,7726850202770613.0,50565904.0,92.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Bannach,295664.0,27827992.0,9412032577520428.0,25965985.0,9334.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,582948.0,56883483.0,9757900018526524.0,51913404.0,9126.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Cumaru do Norte,17085.0,130044468.0,761161650570676.0,12422976.0,9551.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,344428.0,33758233.0,9801245252999176.0,30147053.0,893.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,1441056.0,22075169.0,1.5318744726089758e+16,20843129.0,9475.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Pau D'Arco,167141.0,1471401.0,8803351661172304.0,13919558.0,946.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Redenção,38238.0,37983105.0,9933339871332180.0,3.6163591e+16,9521.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Rio Maria,411462.0,40941436.0,9950235015627204.0,3.8617726e+16,9432.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Santa Maria das Barreiras,1033021.0,10212862.0,9886403083770804.0,9950799200000000.0,9743.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Santana do Araguaia,1159144.0,114518143.0,9879544129115968.0,112025903.0,9784.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
São Félix do Xingu,8421295.0,332100878.0,3943584424960769.0,3.06264457e+16,9193.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Sapucaia,129819.0,12959618.0,9982836102573584.0,12554329.0,9687.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Tucumã,251259.0,24894955.0,9908084884521548.0,24881565.0,10033.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Xinguara,377934.0,37715829.0,9979474987696264.0,35838733.0,957.0,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Fonte: SEMAS/SICAR,,,,,,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
Elaboração: FAPESPA,,,,,,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
*Nota: Dados preliminares extraídos em Novembro/2025.,,,,,,2 Araguaia,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri araguaia.xlsx",Araguaia
