EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
RI Araguaia,536.0,84.0,98.0,17.0,241.0,710.0,113.0,20.0,21.0,94.0,55.0,256.0,27.0,98.0,6.0,12.0,0.0,90.0,174.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Água Azul do Norte,22.0,1.0,5.0,1.0,9.0,38.0,5.0,1.0,0.0,10.0,3.0,14.0,1.0,5.0,0.0,0.0,0.0,0.0,9.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Bannach,5.0,0.0,2.0,0.0,3.0,13.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,68.0,11.0,6.0,1.0,39.0,110.0,10.0,2.0,3.0,3.0,6.0,27.0,6.0,21.0,0.0,2.0,0.0,14.0,21.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Cumaru do Norte,12.0,2.0,3.0,0.0,5.0,19.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,8.0,2.0,2.0,0.0,3.0,24.0,2.0,1.0,0.0,4.0,2.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,102.0,13.0,10.0,4.0,51.0,106.0,21.0,4.0,6.0,3.0,10.0,29.0,6.0,9.0,0.0,4.0,0.0,21.0,29.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Pau D'Arco,6.0,1.0,1.0,0.0,2.0,16.0,2.0,0.0,1.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
Redenção,137.0,25.0,31.0,3.0,52.0,141.0,30.0,6.0,7.0,12.0,16.0,37.0,8.0,25.0,1.0,1.0,0.0,37.0,29.0,2 Araguaia,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri araguaia.xlsx,Araguaia
