EstadoMunicpios,PIB_R_1000,Ranking_Estadual,Ranking_Regional,Partipao_no_Par_,Partipao_na_Regio_,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,,,100.0,,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
RI Araguaia,1.833403558e+16,4.0,,7202626935923237.0,100.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Água Azul do Norte,1047225878.0,46.0,7.0,4114084585450914.0,5711922361176087.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Bannach,153994721.0,130.0,14.0,6.04976749731268e+16,8399390321244266.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,98529616.0,50.0,9.0,3.870790274684156e+16,5.374136838017416e+16,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Cumaru do Norte,4790322.0,91.0,12.0,1881904402246484.0,26128028273413.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,657024636.0,67.0,11.0,2.581157498123912e+16,3.583633473018492e+16,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,1053014288.0,45.0,6.0,4.136824673196596e+16,5743494297287711.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Pau D'Arco,153520962.0,131.0,15.0,6.03115561385884e+16,8373549911044733.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Redenção,3681706091.0,14.0,1.0,1.4463785316374542e+16,2.0081264023596924e+16,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
Rio Maria,1007362504.0,49.0,8.0,3957479123398471.0,5494494104172563.0,2 Araguaia,40,"PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia",20,"Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 40 - PIB Total, Ranking Estadual, Regional e Participação - 2023 ri araguaia.xlsx",Araguaia
