EstadoMunicpios,Total,Automvel,Caminho,Caminho_trator,Caminhonete,Camioneta,Ciclomotor,Micronibus,Motocicleta,Motoneta,nibus,Reboque,Semireboque,Triciclo,Utilitrio,Outros,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2810011.0,765312.0,75715.0,15876.0,226197.0,56188.0,7819.0,7791.0,1219628.0,314301.0,22536.0,40209.0,26496.0,2846.0,28103.0,994.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
RI Araguaia,264660.0,43615.0,8467.0,1481.0,26986.0,2950.0,391.0,340.0,132538.0,38584.0,1318.0,3946.0,2360.0,118.0,1530.0,36.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Água Azul do Norte,3976.0,572.0,145.0,21.0,482.0,56.0,2.0,13.0,2092.0,438.0,45.0,61.0,38.0,0.0,10.0,1.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Bannach,1157.0,130.0,40.0,5.0,225.0,19.0,1.0,5.0,613.0,81.0,6.0,13.0,13.0,0.0,6.0,0.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,23488.0,4601.0,652.0,86.0,2008.0,248.0,29.0,47.0,10896.0,4029.0,160.0,391.0,208.0,5.0,118.0,10.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Cumaru do Norte,1837.0,180.0,63.0,11.0,308.0,18.0,1.0,3.0,998.0,175.0,24.0,28.0,22.0,0.0,6.0,0.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,5839.0,820.0,304.0,26.0,800.0,55.0,1.0,7.0,2909.0,741.0,22.0,58.0,77.0,1.0,18.0,0.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,16392.0,2492.0,370.0,46.0,1298.0,213.0,18.0,15.0,9264.0,2291.0,45.0,193.0,54.0,10.0,82.0,1.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Pau D'Arco,2044.0,360.0,54.0,4.0,146.0,14.0,0.0,15.0,1142.0,261.0,12.0,18.0,12.0,0.0,6.0,0.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Redenção,83057.0,17096.0,2629.0,624.0,8586.0,1026.0,202.0,110.0,37060.0,12463.0,358.0,1417.0,843.0,31.0,608.0,4.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Rio Maria,9912.0,1568.0,436.0,63.0,1193.0,101.0,5.0,22.0,4341.0,1737.0,74.0,181.0,112.0,1.0,77.0,1.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Santa Maria das Barreiras,4151.0,645.0,241.0,53.0,726.0,39.0,3.0,13.0,1844.0,334.0,69.0,76.0,93.0,1.0,14.0,0.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Santana do Araguaia,17592.0,2894.0,603.0,169.0,1650.0,129.0,3.0,23.0,8770.0,2616.0,94.0,276.0,279.0,4.0,81.0,1.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
São Félix do Xingu,24594.0,2157.0,569.0,64.0,2210.0,184.0,47.0,12.0,15717.0,3165.0,89.0,152.0,95.0,12.0,113.0,8.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Sapucaia,1804.0,326.0,58.0,9.0,199.0,23.0,0.0,3.0,895.0,212.0,16.0,33.0,18.0,1.0,9.0,2.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Tucumã,33683.0,4233.0,943.0,77.0,3611.0,409.0,40.0,21.0,19548.0,3998.0,123.0,383.0,100.0,30.0,165.0,2.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
Xinguara,35134.0,5541.0,1360.0,223.0,3544.0,416.0,39.0,31.0,16449.0,6043.0,181.0,666.0,396.0,22.0,217.0,6.0,2 Araguaia,51,Total da Frota de Veículos por Tipo - 2024 ri araguaia,20,Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 51 - Total da Frota de Veículos por Tipo - 2024 ri araguaia.xlsx,Araguaia
