EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
RI Araguaia,3530966584.0,2508070298.0,3.881686141e+16,2.548029691e+16,12468752709.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Água Azul do Norte,239535884.0,123807096.0,6370732.0,123699046.0,550749346.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Bannach,90752551.0,1597925.0,10287776.0,23317324.0,125955575.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Conceição do Araguaia,143288707.0,30238537.0,232424593.0,200828223.0,606780059.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Cumaru do Norte,267033652.0,7678853.0,52184378.0,64964499.0,391861382.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Floresta do Araguaia,260687232.0,116718934.0,95058266.0,98986173.0,571450604.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Ourilândia do Norte,95171973.0,574409458.0,230528011.0,167636608.0,106774605.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Pau D'Arco,56577632.0,3671378.0,1492274.0,36286455.0,111458205.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
Redenção,200284487.0,302558294.0,1238252204.0,392242203.0,2133337186.0,2 Araguaia,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia,..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri araguaia.xlsx,Araguaia
