Par,col,1,3344,437,3782,1_2,19,6505,681,7206,3,480,7663,747,8893,21,718,2,261,1002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Araguaia,-,-,94.0,23,117.0,-,-,193.0,37,230.0,-,5,314.0,37,356.0,1,39.0,-,19,59.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Água Azul do Norte,-,-,3.0,1,4.0,-,-,4.0,1,5.0,-,-,9.0,1,10.0,-,2.0,-,-,2.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Bannach,-,-,5.0,-,5.0,-,-,5.0,-,5.0,-,-,6.0,-,6.0,-,2.0,-,-,2.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Conceição do Araguaia,-,-,3.0,2,5.0,-,-,17.0,5,22.0,-,4,17.0,5,26.0,1,5.0,-,3,9.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Cumaru do Norte,-,-,6.0,-,6.0,-,-,11.0,-,11.0,-,-,13.0,-,13.0,-,2.0,-,-,2.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Floresta do Araguaia,-,-,4.0,-,4.0,-,-,11.0,-,11.0,-,-,21.0,-,21.0,-,3.0,-,-,3.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Ourilândia do Norte,-,-,7.0,1,8.0,-,-,17.0,1,18.0,-,-,30.0,1,31.0,-,2.0,-,1,3.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Pau D'Arco,-,-,1.0,-,1.0,-,-,7.0,-,7.0,-,-,8.0,-,8.0,-,1.0,-,-,1.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Redenção,-,-,10.0,7,17.0,-,-,15.0,13,28.0,-,-,25.0,12,37.0,-,5.0,-,5,10.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
Rio Maria,-,-,2.0,2,4.0,-,-,4.0,2,6.0,-,-,10.0,1,11.0,-,2.0,-,-,2.0,2 Araguaia,6,"Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia",20,"Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia","..\..\Desktop\tabelas-powerBI\2 Araguaia\Tabela 6 - Estabelecimentos de Creche e Ensinos Pré-Escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri araguaia.xlsx",Araguaia
