EstadoMunicpios,VA_Agropecuria,VA_Indstria,VA_Servios_exclusive_Administrao_Pblica,VA_Administrao_Pblica,VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,24296590644.0,1.1132113318200006e+16,6474338067100003.0,3973614317000002.0,2.400972476610001e+16,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
RI Rio Capim,3619678755.0,2.2335025730000004e+16,302695924.0,3.2148266840000004e+16,12094967251.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,27211225.0,9393594.0,24584275.0,36359239.0,97548333.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Aurora do Pará,88250275.0,9605742.0,47400109.0,152010852.0,297266979.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Bujaru,325586913.0,21012888.0,52241655.0,127888572.0,526730029.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Capitão Poço,13183977.0,35336835.0,169179131.0,236972443.0,573328179.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,110681663.0,17551946.0,93544161.0,169625078.0,391402848.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Dom Eliseu,233611578.0,49641726.0,303028944.0,257277883.0,84356013.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,75424663.0,997796.0,48968134.0,129879441.0,264250198.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,83539641.0,139038962.0,89440741.0,279300955.0,591320298.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Irituia,6072135.0,11017446.0,53670458.0,141309789.0,266719042.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Mãe do Rio,31861758.0,13164596.0,121764595.0,145552629.0,312343579.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Nova Esperança do Piriá,179895277.0,11846853.0,47003278.0,101532306.0,340277713.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Ourém,59918383.0,16475907.0,40546378.0,73281537.0,190222205.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Paragominas,433732686.0,159608321.0,1267404761.0,558209157.0,3855429813.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Rondon do Pará,176744669.0,41597787.0,221451342.0,230486056.0,670279854.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Tomé-Açu,224586666.0,109035722.0,265510884.0,334983484.0,934116756.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
Ulianópolis,1376072238.0,142721399.0,181220394.0,240157263.0,1940171295.0,10 Rio Capim,37,Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,20,Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 37 - Valor Adicionado Total e por Setores com Administração Pública - 2021 ri rio capim.xlsx,Rio Capim
