Municpios,Nome_do_Hospital,Tipo,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Abel Figueiredo,HOSPITAL MUNICIPAL DE ABEL FIGUEIREDO ALTAIR ATAIDE MATEUS ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Aurora do Pará,HOSPITAL MUNICIPAL DE AURORA DO PARA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Bujaru,HOSPITAL SAO JOAQUIM ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Capitão Poço,CLINICA CIRURGICA E GENECOLOGICA DO PARA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
,HOSPITAL DR ALDOMAR AARAO MONTEIRO ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,HOSPITAL E MATERNIDADE JOAO LINS DE OLIVEIRA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Dom Eliseu,HOSPITAL BETESDA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
,HOSPITAL DAS CLINICAS DE DOM ELISEU ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
,HOSPITAL MUNICIPAL DE DOM ELISEU PAULO VIDAL ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,HOSPITAL E MATERNIDADE MUNICIPAL MANOEL GONCALVES EUFRASIO ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,HOSPITAL GERAL DE IPIXUNA DO PARA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
,HOSPITAL SANTA CLARA ,Hospital Geral,10 Rio Capim,19,Caracterização Hospitalar por  Tipo - 2025 ri rio capim,20,Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 19 - Caracterização Hospitalar por  Tipo - 2025 ri rio capim.xlsx,Rio Capim
