EstadoMunicpios,Ovos_de_codorna_Mil_dzias,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,511007.0
RI Rio Capim,0,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,34998.0
Abel Figueiredo,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,3949.0
Aurora do Pará,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,996.0
Bujaru,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,48.0
Capitão Poço,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,417.0
Concórdia do Pará,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,50.0
Dom Eliseu,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,681.0
Garrafão do Norte,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,270.0
Ipixuna do Pará,-,10 Rio Capim,46,Producao de Origem Animal por Tipo - 2024 ri rio capim,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri rio capim.xlsx,Rio Capim,Leite_Mil_litros,3190.0
