EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
RI Rio Capim,379.0,96.0,74.0,4.0,148.0,608.0,105.0,18.0,5.0,141.0,63.0,255.0,18.0,83.0,7.0,6.0,0.0,48.0,106.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,5.0,1.0,2.0,0.0,2.0,5.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Aurora do Pará,9.0,5.0,1.0,0.0,4.0,27.0,5.0,1.0,0.0,5.0,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Bujaru,12.0,7.0,4.0,0.0,2.0,24.0,6.0,1.0,0.0,4.0,3.0,10.0,1.0,3.0,1.0,0.0,0.0,4.0,5.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Capitão Poço,22.0,6.0,4.0,0.0,7.0,42.0,7.0,1.0,0.0,10.0,3.0,19.0,0.0,7.0,0.0,0.0,0.0,5.0,7.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,14.0,5.0,4.0,0.0,7.0,24.0,4.0,3.0,0.0,5.0,3.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,5.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Dom Eliseu,35.0,4.0,7.0,1.0,15.0,48.0,10.0,0.0,1.0,10.0,6.0,25.0,0.0,3.0,1.0,0.0,0.0,6.0,6.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,11.0,1.0,3.0,0.0,2.0,29.0,3.0,0.0,0.0,8.0,4.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,20.0,9.0,12.0,0.0,9.0,48.0,5.0,1.0,0.0,8.0,7.0,16.0,1.0,4.0,0.0,0.0,0.0,2.0,7.0,10 Rio Capim,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio capim.xlsx,Rio Capim
