Par,820361,301905,518456,11208843632599998,5406014641200002,5802828991400001,14650321514480005,7064060326700001,7586261187780002,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,60939.0,11500.0,49439.0,7181252455.0,1655617055.0,55256354.0,94039411604.0,21581266669.0,7245814493499999.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Abel Figueiredo,537.0,91.0,446.0,65114989.0,13218421.0,51896568.0,8331188869999999.0,170879656.0,662239231.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Aurora do Pará,529.0,66.0,463.0,6166699700000001.0,880058.0,52866417.0,7273127330000001.0,98323676.0,628989057.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Bujaru,1963.0,191.0,1772.0,229761527.0,27205675.0,202555852.0,3.0094504910000004e+16,345759579.0,2663690912.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Capitão Poço,9198.0,1029.0,8169.0,1068465291.0,147940812.0,920524479.0,13957550354.0,1889126899.0,12068423455.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Concórdia do Pará,2275.0,241.0,2034.0,266623327.0,36799925.0,229823402.0,3518586507.0,4.790908560000001e+16,3039495651.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Dom Eliseu,3849.0,790.0,3059.0,444624129.0,110119493.0,334504636.0,5.686969847000001e+16,1410801039.0,4276168808.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Garrafão do Norte,3511.0,219.0,3292.0,394170431.0,29464507.0,364705924.0,5092446833.0,3.73895928e+16,4718550905.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Ipixuna do Pará,2141.0,312.0,1829.0,243173365.0,40336231.0,202837134.0,343500954.0,572020647.0,2862988893.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
Irituia,3106.0,354.0,2752.0,360177943.0,4738727.0,312790673.0,4755347558.0,619674442.0,4135673116.0,10 Rio Capim,29,Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,20,Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 29 - Benefícios Emitidos pela Previdência Social - 2024 ri rio capim.xlsx,Rio Capim
