Par,1445663,13001,27369,17213,69065,120790,63390,742285,27276,365274,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Capim,86010.0,2191.0,4330.0,2159.0,6708.0,9925.0,4487.0,35921.0,1364.0,18925.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Abel Figueiredo,722.0,6.0,43.0,12.0,26.0,60.0,26.0,395.0,3.0,151.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Aurora do Pará,1389.0,8.0,72.0,34.0,44.0,182.0,80.0,447.0,11.0,511.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Bujaru,1509.0,5.0,25.0,12.0,26.0,113.0,50.0,804.0,101.0,373.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Capitão Poço,10593.0,131.0,546.0,122.0,1015.0,1369.0,310.0,2826.0,89.0,4185.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Concórdia do Pará,3957.0,33.0,314.0,68.0,1141.0,202.0,267.0,1323.0,77.0,532.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Dom Eliseu,5827.0,753.0,152.0,139.0,377.0,609.0,539.0,2122.0,62.0,1074.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Garrafão do Norte,3059.0,32.0,158.0,67.0,344.0,406.0,114.0,1035.0,10.0,893.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Ipixuna do Pará,4802.0,36.0,175.0,109.0,146.0,1387.0,124.0,1510.0,19.0,1296.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
Irituia,2527.0,2.0,119.0,15.0,113.0,268.0,53.0,629.0,7.0,1321.0,10 Rio Capim,26,Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,20,Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim,..\..\Desktop\tabelas-powerBI\10 Rio Capim\Tabela 26 - Vínculos Empregatícios por Escolaridade do Trabalhador Formal - 2024 - rio capim.xlsx,Rio Capim
