EstadoMunicpios,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,29,745689,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,511007.0
RI Tocantins,0,24760,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,3610.0
Abaetetuba,-,440,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,20.0
Acará,-,1100,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,270.0
Baião,-,3600,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,850.0
Barcarena,-,-,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,100.0
Cametá,-,15000,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,62.0
Igarapé-Miri,-,490,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,34.0
Limoeiro do Ajuru,-,2100,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,1.0
Mocajuba,-,-,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins,Leite_Mil_litros,63.0
