EstadoMunicpios,PIB_R_1000,Populao,PIB_Per_capita,Razo_PIB_Per_capita_entre_Municpio_e_Par_R_100,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2.5454651119799996e+16,8121025.0,3.1295764606916276e+16,1.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
RI Tocantins,22727645503.0,807871.0,2813276563089899.0,8989320434970849.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Abaetetuba,2441092172.0,158188.0,1543159.0,4930887675640832.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Acará,211146704.0,59023.0,3577363.0,1.1430821534264136e+16,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Baião,799362814.0,51641.0,1547923.0,4946110182775063.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Barcarena,9190032788.0,126650.0,7256244.0,2318602562084836.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Cametá,1901552871.0,134184.0,1417123.0,4528162253900708.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Igarapé-Miri,1021946299.0,64831.0,1576324.0,5036860481918493.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,60199105.0,29569.0,2035886.0,6505308387800421.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
Mocajuba,480359837.0,27198.0,1766159.0,5643444159883807.0,12 Tocantins,41,"PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins",20,"Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 41 - PIB Total, Pop, PIB per capita e Razão entre PIB per capita e do Estado - 2023 ri tocantins.xlsx",Tocantins
