EstadoMunicpio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Pará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,5671654857142.0
RI Tocantins,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,4.11865461106e+16
Abaetetuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,62610212821.0
Acará,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,34312488471.0
Baião,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,19518710169.0
Barcarena,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,110526126926.0
Cametá,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,54461314358.0
Igarapé-Miri,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,28936479093.0
Limoeiro do Ajuru,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,13457751305.0
Mocajuba,12 Tocantins,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tocantins.xlsx",Tocantins,Receita_Corrente,1597994868.0
