EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
RI Tocantins,647.0,145.0,153.0,5.0,210.0,855.0,132.0,35.0,34.0,167.0,96.0,259.0,43.0,120.0,3.0,23.0,0.0,151.0,154.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Abaetetuba,239.0,29.0,35.0,1.0,90.0,206.0,37.0,7.0,15.0,35.0,18.0,60.0,14.0,30.0,1.0,11.0,0.0,66.0,27.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Acará,19.0,4.0,3.0,0.0,5.0,42.0,2.0,1.0,1.0,11.0,2.0,11.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Baião,13.0,7.0,2.0,0.0,1.0,27.0,2.0,0.0,0.0,12.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Barcarena,211.0,28.0,28.0,1.0,47.0,170.0,37.0,18.0,14.0,39.0,30.0,70.0,25.0,44.0,2.0,9.0,0.0,70.0,51.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Cametá,67.0,42.0,63.0,1.0,36.0,186.0,21.0,3.0,2.0,16.0,16.0,43.0,2.0,12.0,0.0,1.0,0.0,9.0,36.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Igarapé-Miri,19.0,9.0,4.0,1.0,4.0,46.0,12.0,2.0,0.0,14.0,7.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,10.0,5.0,1.0,0.0,2.0,25.0,1.0,0.0,0.0,8.0,2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Mocajuba,15.0,4.0,1.0,1.0,4.0,26.0,4.0,0.0,1.0,8.0,2.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Moju,16.0,4.0,2.0,0.0,5.0,47.0,7.0,1.0,0.0,10.0,5.0,17.0,1.0,7.0,0.0,0.0,0.0,0.0,10.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Tailândia,38.0,13.0,14.0,0.0,16.0,80.0,9.0,3.0,1.0,14.0,10.0,25.0,0.0,8.0,0.0,2.0,0.0,4.0,12.0,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Fonte: DATASUS,,,,,,,,,,,,,,,,,,,,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
*Nota: Dados referentes a Outubro/2025.,,,,,,,,,,,,,,,,,,,,12 Tocantins,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri tocantins.xlsx,Tocantins
