Par,1445663,27792,117832,9307,99624,261547,444602,423642,61317,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,98643.0,365,15211.0,364.0,11362.0,13929.0,15173.0,32788.0,9451.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Abaetetuba,14811.0,24,432.0,53.0,482.0,4472.0,2752.0,6336.0,260.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Acará,4771.0,1,506.0,1.0,68.0,371.0,512.0,2126.0,1186.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Baião,1746.0,-,1.0,,7.0,167.0,95.0,1410.0,66.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Barcarena,39497.0,309,9141.0,227.0,10108.0,3895.0,8223.0,7319.0,275.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Cametá,6367.0,-,69.0,3.0,45.0,1059.0,841.0,4348.0,2.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Igarapé-Miri,3221.0,-,240.0,17.0,146.0,476.0,229.0,2053.0,60.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,1114.0,-,1.0,5.0,,24.0,14.0,1070.0,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Mocajuba,1829.0,-,41.0,10.0,47.0,158.0,81.0,1434.0,58.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Moju,11223.0,29,1714.0,43.0,50.0,1013.0,636.0,4344.0,3394.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Tailândia,14064.0,2,3066.0,5.0,409.0,2294.0,1790.0,2348.0,4150.0,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Fonte: MTE-RAIS,,,,,,,,,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,,,,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins
