EstadoMunicpios,Leite_Mil_litros,Ovos_de_galinha_Mil_dzias,Ovos_de_codorna_Mil_dzias,Mel_de_abelha_Quilogramas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,511007.0,39437.0,29,745689,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
RI Tocantins,3610.0,382.0,0,24760,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,20.0,30.0,-,440,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Acará,270.0,135.0,-,1100,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Baião,850.0,32.0,-,3600,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Barcarena,100.0,9.0,-,-,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Cametá,62.0,41.0,-,15000,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,34.0,21.0,-,490,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,1.0,24.0,-,2100,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,63.0,13.0,-,-,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Moju,410.0,56.0,-,480,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Tailândia,1800.0,21.0,-,1550,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Fonte: IBGE/PPM,,,,,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,12 Tocantins,46,Producao de Origem Animal por Tipo - 2024 ri tocantins,20,Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 46 -Producao de Origem Animal por Tipo - 2024 ri tocantins.xlsx,Tocantins
