EstadoMunicpio,Bovino,Bubalino,Equino,Suno__total,Suno__matrizes_de_sunos,Caprino,Ovino,Galinceos__Total,Galinceos__galinhas,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,25557665.0,775075,499639.0,587143.0,93157.0,61762.0,284632,26827658.0,2955828.0,1980,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
RI Tocantins,433756.0,2854,6169.0,102253.0,11077.0,2152.0,7060,656200.0,62200.0,0,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,54105.0,773,400.0,12000.0,3100.0,425.0,577,106000.0,3700.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Acará,17810.0,112,814.0,700.0,70.0,195.0,619,155000.0,22000.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Baião,76317.0,357,1682.0,1223.0,250.0,386.0,1465,82000.0,5500.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Barcarena,3384.0,84,72.0,6300.0,630.0,73.0,423,15200.0,1300.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Cametá,2729.0,166,88.0,31500.0,2650.0,,-,140000.0,6600.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,5255.0,74,45.0,18000.0,420.0,25.0,9,12500.0,3500.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,,-,3.0,22000.0,800.0,61.0,168,18000.0,4500.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,1448.0,-,,230.0,52.0,12.0,-,36000.0,2100.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Moju,170492.0,528,1743.0,7600.0,2500.0,365.0,1937,35000.0,9500.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Tailândia,102216.0,760,1322.0,2700.0,605.0,610.0,1862,56500.0,3500.0,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Fonte: IBGE/PPM,,,,,,,,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Elaboração: FAPESPA,,,,,,,,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,,,,,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins
