Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,3654.0,4216030608336064.0,6.04542966611932e+16,3951833607006021.0,2.7367268746579e+16,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Abaetetuba,793.0,4637454020198948.0,5.7377049180327864e+16,424968474148802.0,1.261034047919293e+16,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Acará,283.0,4.513484633418925e+16,6.395759717314488e+16,3.604240282685512e+16,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Baião,164.0,2931240951580904.0,6402439024390245.0,3597560975609756.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Barcarena,623.0,4536484843189083.0,6003210272873194.0,3996789727126806.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Cametá,602.0,4185293074799947.0,5.913621262458472e+16,4.086378737541529e+16,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Igarapé-Miri,304.0,4408672322529186.0,5789473684210527.0,4210526315789473.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Limoeiro do Ajuru,105.0,330417269809302.0,6761904761904762.0,3238095238095238.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Mocajuba,146.0,5065750667915756.0,5.958904109589042e+16,4041095890410959.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
Moju,297.0,3271105237072526.0,6161616161616161.0,3838383838383838.0,0.0,12 Tocantins,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tocantins.xlsx,Tocantins
