EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
RI Tocantins,873726.0,31989499.0,2731290039897155.0,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Abaetetuba,172344.0,1610646.0,1.0700302859846298e+16,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Acará,63110.0,4344387.0,1.4526790546054024e+16,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Baião,56850.0,3760.0,1511968085106383.0,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Barcarena,139076.0,1310338.0,1.0613750040066e+16,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Cametá,144859.0,308219.0,4699872493259663.0,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Igarapé-Miri,69446.0,1996798.0,3.4778680667749064e+16,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Limoeiro do Ajuru,32088.0,1489356.0,2154488248612152.0,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
Mocajuba,28903.0,871168.0,3317729760505436.0,12 Tocantins,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_tocantins.xlsx",Tocantins
