Par,913,97,978,981,97_2,67,09,0,15,11,2,21,22,04,19,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tocantins,89.7,9905.0,-,97.21666666666665,9889.0,7.5,1.399999999999999e+16,-,1.8333333333333333,2.799999999999999e+16,2.8,8099999999999999.0,-,0.9500000000000001,8299999999999998.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Abaetetuba,94.7,996.0,-,99.1,992.0,4,3.0,-,0.9,5.0,1.3,1.0,-,0,3.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Acará,-,100.0,-,-,100.0,-,0.0,-,-,0.0,-,0.0,-,-,0.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Baião,-,97.0,-,-,97.0,-,1.0,-,-,1.0,-,29.0,-,-,29.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Barcarena,-,100.0,-,97.9,998.0,-,0.0,-,2.1,2.0,-,0.0,-,0,0.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Cametá,84.7,96.0,-,100,957.0,11,0.0,-,0,5.0,4.3,4.0,-,0,38.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Igarapé-Miri,-,100.0,-,-,100.0,-,0.0,-,-,0.0,-,0.0,-,-,0.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,-,979.0,-,-,979.0,-,1.0,-,-,1.0,-,11.0,-,-,11.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Mocajuba,-,100.0,-,97.4,999.0,-,0.0,-,0,0.0,-,0.0,-,2.6,1.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Moju,-,100.0,-,96.9,999.0,-,0.0,-,0,0.0,-,0.0,-,3.1,1.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
Tailândia,-,100.0,-,92,995.0,-,0.0,-,8,5.0,-,0.0,-,0,0.0,12 Tocantins,9,"Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins",20,"Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 9 - Taxas de Aprovação, Reprovação e Abandono no Ensino Médio por Dependência Administrativa - 2024 ri tocantins.xlsx",Tocantins
