EstadoMunicpios,rea_Territorial_IBGEkm,rea_Cadastrvel_km,_de_rea_Cadastrvel,rea_de_CAR_km,_de_rea_de_CAR,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.2458722699999996e+16,5848309106000001.0,4694148225965414.0,5058925174.0,865.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
RI Tocantins,3.1989300000000004e+16,2.82428895e+16,8828855117179806.0,220991657.0,7824682987907453.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Abaetetuba,161065.0,11759251.0,7300935026231645.0,9135393000000000.0,7762.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Acará,434438.0,42850734.0,9863486619494612.0,3.2723196000000004e+16,7635.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Baião,375983.0,2.8052077000000004e+16,7460996108866625.0,19598599.0,6987.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Barcarena,131034.0,606395.0,4627768365462399.0,4195768.0,71.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Cametá,308136.0,26070769.0,8460799452189943.0,13516652.0,5186.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Igarapé-Miri,199679.0,16699192.0,8363018644925106.0,12043269.0,7212.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Limoeiro do Ajuru,149018.0,9729144.0,6528838126937686.0,6652447.0,6838.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
Mocajuba,87117.0,7941148.0,9115497549272816.0,5639209999999999.0,7099.0,12 Tocantins,35,"Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins",20,"Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins","..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 35 - Área Territorial, Área Cadastrável e Área Cadastrada no Cadastro Ambiental Rural (CAR) - 2025 ri tocantins.xlsx",Tocantins
