Par,27792,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,98643.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,14811.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,4771.0
Baião,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,1746.0
Barcarena,309,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,39497.0
Cametá,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,6367.0
Igarapé-Miri,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,3221.0
Limoeiro do Ajuru,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,1114.0
Mocajuba,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,1829.0
Moju,29,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,11223.0
Tailândia,2,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,14064.0
Fonte: MTE-RAIS,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,
Elaboração: FAPESPA,,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,1445663,
RI Tocantins,365,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,15211.0
Abaetetuba,24,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,432.0
Acará,1,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,506.0
Baião,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,1.0
Barcarena,309,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,9141.0
Cametá,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,69.0
Igarapé-Miri,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,240.0
Limoeiro do Ajuru,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,1.0
Mocajuba,-,12 Tocantins,25,Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,20,Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 25 - Vínculos Empregatícios no Emprego Formal por Setor Econômico - 2024 - ri tocantins.xlsx,Tocantins,117832,41.0
