EstadoMunicpios,Masculino,Feminino,Razo_de_Sexos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,4373481.0,4337715.0,1008245354985286.0,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
RI Tocantins,447112.0,426614.0,104804811843962.0,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Abaetetuba,86963.0,85381.0,1.0185287124770148e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Acará,32840.0,30270.0,1.0849025437727124e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Baião,28474.0,28376.0,1003453622779814.0,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Barcarena,70134.0,68942.0,1.0172898958544864e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Cametá,74982.0,69877.0,1.0730569429139774e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Igarapé-Miri,35937.0,33509.0,1.0724581455728312e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Limoeiro do Ajuru,16720.0,15368.0,1087975013014055.0,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
Mocajuba,14752.0,14151.0,1.0424704967846796e+16,12 Tocantins,2,População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,20,Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 2 - População__Por_Sexo_e_Razão_entre_Sexos__-_2025_ri_tocantins.xlsx,Tocantins
