EstadoMunicpio,Bubalino,Ovino,Codornas,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Moju,528,1937,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Bovino,170492.0
Tailândia,760,1862,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Bovino,102216.0
Fonte: IBGE/PPM,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Bovino,
Elaboração: FAPESPA,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Bovino,
Nota: Os dados divulgados são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Bovino,
Pará,775075,284632,1980,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,499639.0
RI Tocantins,2854,7060,0,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,6169.0
Abaetetuba,773,577,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,400.0
Acará,112,619,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,814.0
Baião,357,1465,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,1682.0
Barcarena,84,423,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,72.0
Cametá,166,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,88.0
Igarapé-Miri,74,9,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,45.0
Limoeiro do Ajuru,-,168,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,3.0
Mocajuba,-,-,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,
Moju,528,1937,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,1743.0
Tailândia,760,1862,-,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,1322.0
Fonte: IBGE/PPM,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,
Elaboração: FAPESPA,,,,12 Tocantins,45,Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,20,Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins,..\..\Desktop\tabelas-powerBI\12 Tocantins\Tabela 45 - Efetivo de Rebanho Cabecas por Tipo - 2024 ri tocantins.xlsx,Tocantins,Equino,
