EstadoMunicpio,Receita_Oramentria,Receita_Corrente,Receita_de_Transferncias_Correntes,Impostos,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,58736419115.84,56716548571.42,19418082537.85,29012900314.88,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
RI Tapajós,1283321279.8899999,1214211293.31,1024974715.3299999,122001966.08,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Aveiro,**,**,**,**,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Itaituba,670626489.09,654152694.86,532247118.81,71886845.67,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,232541706.44,225137087.9,214113404.67,8867425.33,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,268303727.52,226583422.72,182317076.03,32732213.73,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,**,**,**,**,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Trairão,111849356.84,108338087.83,96297115.82,8515481.35,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Fonte: STN-FINBRA,,,,,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
*Nota: A receita total do estado não equivale a soma das receitas dos municípios.,,,,,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
"**Nota: Os municípios com asterisco, até a data de consulta 28/08/25, não constavam informação na fonte oficial.",,,,,11 Tapajós,48,"Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos",20,"Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 48 - Receitas Orçamentária, Corrente, Transferidas e Impostos - 2024 ri tapajos.xlsx",Tapajós
