EstadoMunicpio,Creche,PrEscola,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,161.0,178.0,214.0,301.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
RI Tapajós,1.8883333333333332e+16,178.0,2.0016666666666664e+16,2736666666666667.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Aveiro,131.0,131.0,146.0,185.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Itaituba,143.0,185.0,223.0,316.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Jacareacanga,241.0,99.0,13.0,252.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Novo Progresso,23.0,205.0,262.0,286.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Rurópolis,193.0,206.0,189.0,31.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Trairão,195.0,242.0,251.0,293.0,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Fonte: MEC - INEP,,,,,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,11 Tapajós,12,Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,20,Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 12 - Média de Alunos por Turma por Nível de Ensino - 2024 ri tapajos.xlsx,Tapajós
