Par,45314,52299630230049585,5921790175221786,4072251401332922,005958423445292845,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tapajós,1414.0,5268060057374912.0,6463932107496464.0,3536067892503536.0,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Aveiro,62.0,3225303022421058.0,5967741935483871.0,4032258064516129.0,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Itaituba,785.0,5.872056491427546e+16,6331210191082802.0,3668789808917197.0,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Jacareacanga,107.0,4114435130354533.0,7009345794392523.0,2.9906542056074764e+16,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Novo Progresso,205.0,5613669970973218.0,6682926829268293.0,3.3170731707317076e+16,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Rurópolis,156.0,417558886509636.0,6089743589743589.0,391025641025641.0,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Trairão,99.0,6338433958640118.0,7373737373737373.0,2.6262626262626268e+16,0.0,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Fonte: DATASUS,,,,,,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
*Nota: Dados Preliminares extraídos em Outubro/2025.,,,,,,11 Tapajós,14,Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,20,Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 14 - Taxas de Mortalidade Geral e Percentual de Mortes por sexo - 2024 ri tapajos.xlsx,Tapajós
