Par,48789382896,100,10637664692999992,100_2,54942469403,100_3,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tapajós,219508097.91,4.499095599915783,4785987.07,4.4990956268337445,15426471.31,2.807749902329231,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Aveiro,14446502.120000001,0.2960992999397907,314980.51,0.29609930289236297,23196.019999999997,0.004221874308171055,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Itaituba,92084993.46,1.8873982000610543,2007750.93,1.887398209986051,9622940.46,1.751457581823682,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,54603457.53,1.1191668000063322,1190532.12,1.1191668043301062,239679.25,0.0436236762934636,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,31787897.880000003,0.6515330998910038,693079.0700000001,0.6515331043063181,3815193.6500000004,0.6943979204894787,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,14063276.16,0.2882446000593497,306624.94,0.28824459958939247,1140030.44,0.2074953041585989,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Trairão,12521970.76,0.25665359995825265,273019.5,0.2566536057295148,585431.49,0.10655354525583699,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Fonte: DITES-SEFA,,,,,,,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,,,,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
*Nota 1: Deduzidos 20% de contribuição ao FUNDEB,,,,,,,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
**Nota 2: Deduzidos 50% de contribuição ao FUNDEB,,,,,,,11 Tapajós,47,"Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos",20,"Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 47 - Repasse e Participação ICMS, IPI E IPVA - 2024 ri tapajos.xlsx",Tapajós
