EstadoMunicpios,_Participao_VA_Agropecuria,_Participao_VA_Indstria,_Participao_VA_Servios_exclusive_Administrao_Pblica,_Participao_VA_Administrao_Pblica,_Participao_VA_Total,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,1.0119479036388216e+16,4636501845251364.0,2696548223760274.0,1.6550020275994406e+16,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
RI Tapajós,1.3758987061451144e+16,2.4100072710322056e+16,3887514207055814.0,2326579817736708.0,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Aveiro,3347805535261078.0,541037134491525.0,8677601118730873.0,5.243397218374309e+16,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Itaituba,6104764675047375.0,2767417786899188.0,4835924903987645.0,1.7861808416084304e+16,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Jacareacanga,1.03861847200773e+16,4779883558808004.0,1178459141876879.0,3.0030388273073864e+16,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Novo Progresso,2773414402658341.0,1.1030335667146028e+16,4.3800492663739576e+16,1743502764253098.0,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Rurópolis,1.9417361818443852e+16,1423536554843983.0,2.2720282628940756e+16,4362699021990572.0,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Trairão,3277021098601292.0,4342919343036671.0,338633642799989.0,2.9023505390951504e+16,100.0,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Fonte: FAPESPA/IBGE,,,,,,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,11 Tapajós,39,Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,20,Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 39 - Participação do VA dos Setores e da Administração Pública em relação ao Município - 2021 ri tapajos.xlsx,Tapajós
