EstadoMunicpios,0_a_4_anos,5_a_9_anos,10_a_14_anos,15_a_19_anos,20_a_29_anos,30_a_39_anos,40_a_49_anos,50_a_59_anos,60_a_69_anos,70_a_79_anos,80_anos_e_mais,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,626870.0,674284.0,698269.0,751277.0,1500057.0,1371170.0,1229538.0,858403.0,571207.0,301884.0,128237.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
RI Tapajós,24439.0,24776.0,23974.0,23821.0,48978.0,42665.0,33975.0,22892.0,15482.0,7516.0,2612.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Aveiro,1914.0,1943.0,1836.0,1745.0,3161.0,2740.0,2210.0,1631.0,1257.0,657.0,286.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Itaituba,11419.0,11591.0,11022.0,11311.0,25239.0,22434.0,17588.0,11789.0,7918.0,3749.0,1309.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Jacareacanga,3743.0,3328.0,3037.0,2892.0,5034.0,3236.0,2374.0,1487.0,885.0,421.0,142.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Novo Progresso,3269.0,3294.0,3033.0,3047.0,6528.0,6306.0,5014.0,3376.0,2129.0,834.0,224.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Rurópolis,2774.0,3240.0,3726.0,3454.0,6317.0,5582.0,4665.0,3217.0,2366.0,1364.0,493.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Trairão,1320.0,1380.0,1320.0,1372.0,2699.0,2367.0,2124.0,1392.0,927.0,491.0,158.0,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
"Fonte: DATASUS - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2025",,,,,,,,,,,,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
Elaboração: FAPESPA,,,,,,,,,,,,11 Tapajós,3,População_por_Faixa_Etária_-_2025_ri_tapajós,20,Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós,..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 3 - População_por_Faixa_Etária_-_2025_ri_tapajós.xlsx,Tapajós
