EstadoMunicpio,Desflorestamento_Acumulado_km,Incremento_do_Desflorestamento_km,Focos_de_Calor,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,2914860687628959.0,2.260838831105545e+16,56070.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
RI Tapajós,2308384741875891.0,3838830811961475.0,11867.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Aveiro,1.5954385362531332e+16,514976816731728.0,559.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Itaituba,7072296510130738.0,154496252839868.0,3333.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,2131781739967697.0,458043329771556.0,1701.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,770862083366501.0,625694330049399.0,4787.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,2.614924842358508e+16,252892830836816.0,707.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Trairão,1.96078495638382e+16,442260976173296.0,780.0,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Fonte: PRODES - INPE-TERRABRASILIS/Queimadas,,,,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,11 Tapajós,33,"Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos",20,"Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 33 - Desflorestamento Acumulado (km²), Incremento do Desflorestamento (km²) e Focos de Calor - 2024 ri tapajos.xlsx",Tapajós
