Par,col,7,6417,1102,7510,11,38,11947,2073,14038,163,6399,47523,9017,61362,1126,11735,32,3075,15629,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Tapajós,-,-,260.0,22,282.0,-,-,573.0,18,591.0,-,-,1989.0,121,2087.0,41,238.0,-,48,318.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Aveiro,-,-,16.0,-,16.0,-,-,45.0,-,45.0,-,-,200.0,-,200.0,-,18.0,-,-,18.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Itaituba,-,-,137.0,21,158.0,-,-,267.0,10,277.0,-,-,848.0,75,907.0,41,139.0,-,30,201.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Jacareacanga,-,-,16.0,-,16.0,-,-,121.0,-,121.0,-,-,392.0,-,392.0,-,17.0,-,-,17.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Novo Progresso,-,-,46.0,1,47.0,-,-,71.0,8,79.0,-,-,204.0,46,243.0,-,17.0,-,18,35.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Rurópolis,-,-,25.0,-,25.0,-,-,47.0,-,47.0,-,-,234.0,-,234.0,-,27.0,-,-,27.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Trairão,-,-,20.0,-,20.0,-,-,22.0,-,22.0,-,-,111.0,-,111.0,-,20.0,-,-,20.0,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Fonte: MEC - INEP,,,,,,,,,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,11 Tapajós,7,"Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos",20,"Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos","..\..\Desktop\tabelas-powerBI\11 Tapajós\Tabela 7 - Número de Docentes em Crecehes e nos Ensinos Pré-escolar, Fundamental e Médio por Dependência Administrativa - 2024 ri tapajos.xlsx",Tapajós
