Par,36906,425275,1080902,163405,137455,7716788,137,97,1871,204611,3130177,2229561,15091,261114,426150,4729,74442,90615,1089,16329,43398,1646,16122,63855,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Salinópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,300.0
Santa Luzia do Pará,120,1890,6502,-,-,-,-,-,-,-,-,-,20,320,419,-,-,-,-,-,-,-,-,-,200,405,14175,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,200.0
Santarém Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,200,500,-,-,-,30,83,2648,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,20.0
São João de Pirabas,4,48,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,30.0
Tracuateua,10,100,220,-,-,-,-,-,-,-,-,-,6,51,83,5,50,86,-,-,-,-,-,-,15,33,830,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,30.0
Viseu,70,892,2275,-,-,-,-,-,-,-,-,-,15,135,242,10,80,165,-,-,-,5,40,160,120,252,6678,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,95.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,16868,
RI Rio Caeté,346,4736,13342,30,10,359,0,0,0,9040,180800,119618,89,1049,1645,38,403,611,55,920,2174,72,754,2703,898,2081,64613,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,169935,13317.0
