Par,36906,425275,1080902,163405,137455,7716788,137,97,1871,204611,3130177,2229561,15091,261114,426150,4729,74442,90615,1089,16329,43398,1646,16122,63855,18515,41560,1248357,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba,variavel,valor
Augusto Corrêa,11,90,167,-,-,-,-,-,-,-,-,-,5,41,78,4,40,66,-,-,-,10,50,225,100,209,6981,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,269.0
Bonito,40,410,1389,-,-,-,-,-,-,8800,176000,116248,5,66,105,-,-,-,-,-,-,-,-,-,50,112,3360,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,140.0
Bragança,25,303,606,25,8,291,-,-,-,-,-,-,18,180,265,6,73,124,-,-,-,-,-,-,40,84,2621,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,426.0
Cachoeira do Piriá,50,775,1279,5,2,68,-,-,-,-,-,-,-,-,-,3,30,57,-,-,-,-,-,-,40,88,2869,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,240.0
Capanema,6,80,264,-,-,-,-,-,-,-,-,-,20,256,453,-,-,-,10,148,343,25,277,1166,100,238,7140,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,1512.0
Nova Timboteua,-,-,-,-,-,-,-,-,-,240,4800,3370,-,-,-,7,91,81,25,394,900,22,290,851,180,519,15570,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,1646.0
Peixe-Boi,5,74,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,178,431,5,49,191,5,13,391,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,540.0
Primavera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,45,1350,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,335.0
Quatipuru,5,74,246,-,-,-,-,-,-,-,-,-,-,-,-,3,39,32,-,-,-,5,48,110,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,43.0
Salinópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,3954.0
Santa Luzia do Pará,120,1890,6502,-,-,-,-,-,-,-,-,-,20,320,419,-,-,-,-,-,-,-,-,-,200,405,14175,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,1336.0
Santarém Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,200,500,-,-,-,30,83,2648,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,237.0
São João de Pirabas,4,48,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,262.0
Tracuateua,10,100,220,-,-,-,-,-,-,-,-,-,6,51,83,5,50,86,-,-,-,-,-,-,15,33,830,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,164.0
Viseu,70,892,2275,-,-,-,-,-,-,-,-,-,15,135,242,10,80,165,-,-,-,5,40,160,120,252,6678,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,640.0
Fonte: IBGE/PAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,
Elaboração: FAPESPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,
Nota: A quantidade produzida de coco-da-baía é expressa em mil frutos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Rio Caeté,43,"Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete",20,"Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 43 - Área colhida (Hectares), Quantidade Produzida (Toneladas) e Valor (Mil Reais) da Produção por Tipo de Lavoura Permanente - 2024 ri caete.xlsx",Rio Caeté,254341,
