Par,48,42,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
RI Rio Caeté,4866666666666666.0,4185714285714286.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,42.0,36.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Bonito,43.0,42.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Bragança,46.0,46.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,48.0,39.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Capanema,58.0,49.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,5.0,43.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,58.0,44.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Primavera,61.0,47.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
Quatipuru,47.0,45.0,9 Rio Caeté,11,Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,20,Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 11 - Índice de Desenvonvimento da Educação Básica - IDEB (Escola Pública) - 2023 ri rio caete.xlsx,Rio Caeté
