EstadoMunicpios,Populao_Estimada_Total__2025,rea_Territorial_km__2024,Densidade_Demogrfica_habkm,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,8711196.0,1.2458288319999992e+16,6.992289611740183e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
RI Rio Caeté,523445.0,16665519.0,3.1408862814293396e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Augusto Corrêa,47912.0,109958.0,4357300060022918.0,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Bonito,12961.0,586977.0,2.2080933324474384e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Bragança,132489.0,2124735.0,6.235554080861849e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Cachoeira do Piriá,19223.0,24196.0,7944701603570839.0,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Capanema,75309.0,621483.0,1.2117628318071452e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Nova Timboteua,13175.0,489852.0,2689587875521586.0,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Peixe-Boi,8686.0,450224.0,1.9292618785315756e+16,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
Primavera,11379.0,259331.0,4387828682263208.0,9 Rio Caeté,1,"População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté",20,"Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté","..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 1 - População,_Área_Territorial_(km²)_e_Densidade_Demográfica_-_2025_ri_rio_caeté.xlsx",Rio Caeté
