EstadoMunicpios,Ensino_Fundamental,Ensino_Mdio,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,215.0,311.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
RI Rio Caeté,2066.0,3723333333333334.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Augusto Corrêa,271.0,391.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Bonito,207.0,413.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Bragança,232.0,329.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Cachoeira do Piriá,209.0,436.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Capanema,171.0,327.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Nova Timboteua,12.0,402.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Peixe-Boi,251.0,444.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
Primavera,201.0,411.0,9 Rio Caeté,10,Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,20,Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 10 - Distorção idade-série total por nível de Ensino - 2024 ri rio caeté.xlsx,Rio Caeté
