EstadoMunicpios,Mdicos,Assistente_Social,Bioqumico_farmacutico,Cirurgio_Geral,Clnico_Geral,Enfermeiro,Fisioterapeuta,Fonoaudilogo,Gineco_Obstetra,Mdico_de_Famlia,Nutricionista,Odontlogo,Pediatra,Psiclogo,Psiquiatra,Radiologista,Sanitarista,Outras_especialidades_mdicas,Outras_ocupaes_de_nvel_superior_relac__Sade,regiao,tabela_num,titulo,ano,arquivo,arquivo_path,aba
Pará,11070.0,1788.0,1859.0,253.0,4015.0,12101.0,2528.0,631.0,465.0,1648.0,1215.0,3725.0,757.0,1973.0,101.0,290.0,3.0,3142.0,2313.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
RI Rio Caeté,388.0,125.0,87.0,5.0,155.0,677.0,113.0,16.0,6.0,142.0,72.0,268.0,16.0,91.0,6.0,6.0,0.0,49.0,92.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Augusto Corrêa,35.0,13.0,3.0,0.0,14.0,52.0,8.0,2.0,1.0,14.0,6.0,22.0,2.0,6.0,0.0,2.0,0.0,2.0,5.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Bonito,10.0,2.0,1.0,0.0,5.0,21.0,2.0,0.0,0.0,4.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Bragança,125.0,42.0,34.0,2.0,49.0,214.0,38.0,7.0,1.0,43.0,21.0,84.0,3.0,27.0,1.0,2.0,0.0,23.0,37.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Cachoeira do Piriá,13.0,4.0,1.0,0.0,2.0,23.0,3.0,1.0,0.0,8.0,2.0,9.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Capanema,97.0,24.0,27.0,1.0,54.0,153.0,32.0,3.0,1.0,7.0,18.0,44.0,8.0,31.0,2.0,2.0,0.0,20.0,23.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Nova Timboteua,6.0,1.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Peixe-Boi,3.0,1.0,1.0,0.0,1.0,11.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
Primavera,6.0,1.0,1.0,0.0,4.0,12.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9 Rio Caeté,20,Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,20,Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete,..\..\Desktop\tabelas-powerBI\9 Rio Caeté\Tabela 20 - Médicos e Profissionais de Ensino Superior na Área da Saúde - 2025 ri rio caete.xlsx,Rio Caeté
